# MALT90 Year 2 catalog from dstncs201.dat Sun Dec 11 17:56:52 2011 velocat=/mako4/d/scott/velo/socat211-rev.dat  Reid rotation model
#source          type     londeg     latdeg    vbest     vrms vcode  kdnear   kdfar   derrp   derrm   probn   probf  dcode comment
 G305.575-00.342    0 305.575470  -0.341332   -46.11     0.48    22   4.945   4.945   0.680   0.000  -1.000  -1.000      2 OK
 G305.589+00.460    0 305.589569   0.460929   -36.00     2.00     1   3.332   6.562   0.626   1.019  -1.000  -1.000      0 ratty;guesstimated
 G305.605-00.690    0 305.605713  -0.688952   -21.10     0.80     1   1.825   8.072   0.416   0.445  -1.000  -1.000      0 bad-hcop-fit
 G305.616-00.344    0 305.616638  -0.343739   -32.53     0.29    30   2.907   6.993   0.510   0.637  -1.000  -1.000      0 OK
 G305.797-00.097    0 305.797699  -0.096155   -40.80     0.13    30   4.078   5.865   0.811   0.893  -1.000  -1.000      0 OK
 G305.799-00.245    0 305.799622  -0.244317   -32.58     0.54    30   2.890   7.054   0.505   0.623  -1.000  -1.000      0 OK
 G305.822-00.114    0 305.822754  -0.113754   -41.99     0.94    14   4.391   5.559   0.982   0.584  -1.000  -1.000      0 OK
 G305.888+00.016    0 305.888611   0.016603   -33.90     0.16    30   3.025   6.940   0.520   0.665  -1.000  -1.000      0 OK
 G305.925+00.033    0 305.925659   0.033270   -33.25     0.25    22   2.948   7.027   0.508   0.633  -1.000  -1.000      0 OK
 G306.342-00.303    0 306.342621  -0.302910   -20.70     1.00     6   1.759   8.315   0.406   0.430  -1.000  -1.000      0 bad-hcn-fit
 G307.377-00.944    0 307.378174  -0.943169    30.59     0.26    22  12.516  12.516   0.428   0.413  -1.000  -1.000      1 OK
 G307.385-00.620    0 307.385498  -0.619421  -125.04    -1.00     1   5.161   5.161   0.000   0.000  -1.000  -1.000      3 not-much-there
 G307.630-00.316    0 307.631134  -0.315815   -36.33     0.05    22   3.066   7.314   0.478   0.576  -1.000  -1.000      0 OK
 G308.678+00.539    0 308.678802   0.539553   -44.94     0.54    22   3.905   6.720   0.599   1.155  -1.000  -1.000      0 OK
 G308.688+00.529    0 308.688995   0.529232   -46.43     0.01    30   4.126   6.501   0.658   1.188  -1.000  -1.000      0 OK
 G308.735+00.777    0 308.735565   0.777802   -46.74     0.10     6   4.163   6.475   0.667   1.156  -1.000  -1.000      0 OK
 G308.792+00.172    0 308.792633   0.172329   -51.10     0.49     6   5.325   5.325   1.284   0.000  -1.000  -1.000      2 OK
 G309.116+00.139    0 309.114746   0.139602   -42.57     0.02    30   3.530   7.195   0.504   0.654  -1.000  -1.000      0 OK
 G309.121-00.205    0 309.121765  -0.204361   -11.87     0.11    30   1.017   9.710   0.359   0.362  -1.000  -1.000      0 OK
 G309.144-00.390    0 309.144470  -0.389150   -41.76     0.61    22   3.437   7.295   0.492   0.619  -1.000  -1.000      0 OK
 G309.172-00.326    0 309.172211  -0.325836   -42.10     0.74    22   3.469   7.269   0.498   0.633  -1.000  -1.000      0 OK
 G309.179-00.030    0 309.180023  -0.029626   -15.43     0.42    30   1.273   9.467   0.361   0.367  -1.000  -1.000      0 OK
 G309.382-00.134    0 309.382385  -0.133334   -50.29     0.49    14   4.600   6.186   0.802   0.793  -1.000  -1.000      0 OK
 G309.903+00.230    0 309.903046   0.230639   -59.31     1.72     6   5.453   5.453   0.000   0.000  -1.000  -1.000      2 wide
 G309.988+00.511    0 309.989075   0.511447   -41.55     0.53    30   3.308   7.617   0.453   0.535  -1.000  -1.000      0 OK
 G310.176-00.116    0 310.176239  -0.115804     8.64     2.19    30  11.435  11.435   0.409   0.399  -1.000  -1.000      1 OK
 G311.451+00.379    0 311.451447   0.379134   -32.05     0.79    30   2.412   8.842   0.368   0.386  -1.000  -1.000      0 OK
 G311.566+00.318    0 311.566864   0.318878   -47.88     0.38    14   3.728   7.552   0.466   0.576  -1.000  -1.000      0 OK
 G311.627+00.290    0 314.194458   0.269654   -67.07    -1.00     1   5.925   5.925   1.067   0.000  -1.000  -1.000      2 nothing-there
 G311.756+00.083    0 311.755951   0.083926   -44.02     0.25    30   3.344   7.977   0.416   0.473  -1.000  -1.000      0 OK
 G311.836+00.073    0 311.836792   0.073634   -47.72     1.79    10   3.675   7.664   0.477   0.583  -1.000  -1.000      0 OK
 G311.907+00.187    0 311.907135   0.187438   -46.71    -1.00     1   3.570   7.784   0.444   0.524  -1.000  -1.000      0 OK
 G311.924+00.222    0 311.924713   0.222693   -49.73    -0.50     2   3.864   7.495   0.477   0.606  -1.000  -1.000      0 OK
 G311.929+00.207    0 311.929871   0.207864   -47.77     1.36    22   3.668   7.692   0.462   0.559  -1.000  -1.000      0 OK
 G311.980-00.952    0 311.980255  -0.950996   -41.21     0.20    30   3.088   8.283   0.391   0.429  -1.000  -1.000      0 OK
 G312.096+00.278    0 312.096161   0.278130   -50.89     0.33    30   3.959   7.438   0.485   0.634  -1.000  -1.000      0 OK
 G312.111+00.263    0 312.111206   0.263160   -50.42     0.50    14   3.907   7.493   0.478   0.612  -1.000  -1.000      0 poor-hcop-fit
 G312.113+00.275    0 312.113678   0.275647   -50.59     0.04    12   3.924   7.476   0.478   0.615  -1.000  -1.000      0 OK
 G312.330-00.088    0 312.330750  -0.087346   -50.83     0.23    30   3.915   7.533   0.471   0.597  -1.000  -1.000      0 OK
 G312.380-00.416    0 312.380646  -0.415521   -25.31     0.07    22   1.898   9.561   0.344   0.350  -1.000  -1.000      0 OK
 G313.576-01.156    0 313.576233  -1.155455   -49.59     0.07    22   3.641   8.078   0.407   0.464  -1.000  -1.000      0 OK
 G313.991-00.086    0 313.992065  -0.084955    -7.12     0.90    22   0.642  11.166   0.350   0.344  -1.000  -1.000      0 OK
 G314.242+00.418    0 314.242340   0.418231   -64.95     0.39    22   5.450   6.411   0.881   0.480  -1.000  -1.000      0 OK
 G314.257+00.413    0 314.257385   0.413283   -62.52     0.30    30   4.923   6.941   0.631   1.009  -1.000  -1.000      0 OK
 G314.906-01.158    0 314.906891  -1.157519   -40.61     0.12    22   2.864   9.138   0.341   0.355  -1.000  -1.000      0 OK
 G314.993+00.095    0 314.993866   0.095975   -55.94     0.10    28   4.031   7.988   0.417   0.493  -1.000  -1.000      0 OK
 G315.327-00.231    0 315.327881  -0.230297    12.14     0.98     6  12.832  12.832   0.397   0.381  -1.000  -1.000      1 OK
 G315.797-00.379    0 315.797943  -0.377815   -61.87     0.04    12   4.473   7.714   0.457   0.600  -1.000  -1.000      0 OK
 G316.514-00.576    0 316.514648  -0.575218   -44.74     0.11    22   3.070   9.264   0.330   0.342  -1.000  -1.000      0 OK
 G316.539-00.020    0 316.539398  -0.019567   -42.25     0.21    30   2.904   9.436   0.325   0.335  -1.000  -1.000      0 OK
 G316.939+00.303    0 316.939636   0.302890   -41.56     0.27    22   2.844   9.577   0.321   0.328  -1.000  -1.000      0 OK
 G317.060+00.260    0 317.060608   0.260475   -40.01     0.17    30   2.740   9.705   0.318   0.324  -1.000  -1.000      0 OK
 G317.287+00.192    0 317.287842   0.192514   -40.58     0.29    22   2.769   9.722   0.317   0.323  -1.000  -1.000      0 OK
 G317.341+00.105    0 317.341919   0.105266   -43.41     0.44    14   2.949   9.553   0.320   0.328  -1.000  -1.000      0 OK
 G317.430-00.374    0 317.430786  -0.373978   -39.30     0.75    14   2.684   9.836   0.318   0.322  -1.000  -1.000      0 OK
 G317.467-00.067    0 317.467682  -0.066825   -35.20     0.26    30   2.425  10.102   0.313   0.315  -1.000  -1.000      0 OK
 G317.878+00.125    0 317.878021   0.125149     0.76     0.71    30   0.085  12.524  12.803   0.352  -1.000  -1.000      0 OK
 G317.932-00.199    0 317.932373  -0.198961   -36.08     1.22    30   2.470  10.150   0.319   0.320  -1.000  -1.000      0 OK
 G318.723-00.756    0 318.723633  -0.755546   -34.97     0.51    22   2.388  10.388   0.307   0.307  -1.000  -1.000      0 OK
 G318.725-00.224    0 318.725250  -0.221776   -49.67    -1.00     1   3.294   9.482   0.319   0.329  -1.000  -1.000      0 nothing-there
 G319.089+00.459    0 319.089752   0.459956   -35.60     0.45    22   2.420  10.427   0.304   0.304  -1.000  -1.000      0 OK
 G320.153+00.789    0 320.152863   0.789711   -36.98     0.16    30   2.488  10.564   0.298   0.296  -1.000  -1.000      0 OK
 G320.244-00.561    0 320.244934  -0.560873   -51.53     1.00     8   3.351   9.718   0.305   0.312  -1.000  -1.000      0 hcop-fit-off
 G320.249+00.445    0 320.249939   0.445718   -32.18     0.14    18   2.202  10.869   0.300   0.297  -1.000  -1.000      0 OK
 G320.365-00.282    0 320.365753  -0.281392   -66.82     0.25    14   4.323   8.769   0.336   0.369  -1.000  -1.000      0 OK
 G320.789+00.716    0 320.790131   0.716448   -59.10     0.66     6   3.791   9.381   0.307   0.320  -1.000  -1.000      0 OK
 G320.794+00.264    0 320.794647   0.264716    -7.53     0.12    22   0.655  12.518   0.343   0.331  -1.000  -1.000      0 OK
 G321.126-00.266    0 321.126892  -0.265993    15.87     0.49    22  14.330  14.330   0.434   0.410  -1.000  -1.000      1 OK
 G321.703+01.170    0 321.703369   1.170687   -39.88     0.18    30   2.640  10.702   0.289   0.287  -1.000  -1.000      0 OK
 G321.708+00.059    0 321.708527   0.059519   -32.72     0.04    30   2.225  11.118   0.295   0.290  -1.000  -1.000      0 OK
 G321.720+01.175    0 321.720215   1.175599   -41.36     0.33    30   2.725  10.620   0.289   0.287  -1.000  -1.000      0 OK
 G321.739-00.664    0 321.739502  -0.663127   -71.16     0.25    30   4.505   8.844   0.326   0.357  -1.000  -1.000      0 OK
 G322.158+00.636    0 322.159149   0.636823   -56.84     0.08    30   3.602   9.823   0.286   0.292  -1.000  -1.000      0 OK
 G322.159+00.635    0 322.159271   0.635126   -56.83     0.38    30   3.601   9.824   0.287   0.293  -1.000  -1.000      0 OK
 G322.163+00.622    0 322.163269   0.622319   -54.50     0.80    30   3.467   9.959   0.288   0.293  -1.000  -1.000      0 OK
 G322.899+00.007    0 322.899597   0.007328   -27.83     0.79    14   1.937  11.622   0.303   0.296  -1.000  -1.000      0 OK
 G323.458-00.081    0 323.458496  -0.079917   -68.14     0.33    30   4.205   9.453   0.287   0.300  -1.000  -1.000      0 OK
 G323.740-00.264    0 323.740570  -0.263180   -49.32     0.68    30   3.149  10.559   0.277   0.276  -1.000  -1.000      0 OK
 G324.200+00.120    0 324.200409   0.120127   -88.15     0.27    30   5.462   8.326   0.373   0.473  -1.000  -1.000      0 OK
 G324.717+00.341    0 324.717621   0.341140   -52.48     0.36    30   3.311  10.567   0.269   0.268  -1.000  -1.000      0 OK
 G324.923-00.570    0 324.923706  -0.569198   -74.19     0.81    30   4.482   9.430   0.282   0.296  -1.000  -1.000      0 OK
 G325.194-00.085    0 325.194550  -0.084403   -78.43     0.42    22   4.712   9.247   0.286   0.304  -1.000  -1.000      0 OK
 G326.283-00.593    0 326.283722  -0.592217   -61.73     0.23    30   3.779  10.362   0.257   0.257  -1.000  -1.000      0 OK
 G326.340+00.505    0 326.340576   0.505880   -94.64     0.95    14   5.647   8.503   0.348   0.430  -1.000  -1.000      0 OK
 G326.407+00.927    0 326.407501   0.927984   -41.87     0.54    30   2.745  11.416   0.274   0.267  -1.000  -1.000      0 OK
 G326.446+00.909    0 326.446472   0.908965   -41.44     0.99    22   2.722  11.445   0.278   0.271  -1.000  -1.000      0 OK
 G326.449-00.749    0 326.449554  -0.748898   -66.13     0.12    14   4.002  10.166   0.256   0.258  -1.000  -1.000      0 OK
 G326.472+00.888    0 326.472229   0.888753   -40.25     0.64    30   2.658  11.514   0.276   0.269  -1.000  -1.000      0 OK
 G326.473-00.378    0 326.473480  -0.376776   -54.62     0.06    30   3.413  10.759   0.258   0.256  -1.000  -1.000      0 OK
 G326.474+00.703    0 326.474701   0.703736   -40.96     0.03    30   2.696  11.476   0.273   0.266  -1.000  -1.000      0 OK
 G326.544+00.169    0 326.544464   0.170071   -74.78     0.15    30   4.447   9.736   0.260   0.267  -1.000  -1.000      0 OK
 G326.608+00.799    0 326.608429   0.799634   -37.28     0.17    30   2.497  11.696   0.279   0.271  -1.000  -1.000      0 OK
 G326.611+00.811    0 326.611389   0.812159   -38.05     0.39    30   2.540  11.655   0.278   0.271  -1.000  -1.000      0 OK
 G326.641+00.613    0 326.641479   0.613078   -39.20     0.27    30   2.603  11.597   0.276   0.269  -1.000  -1.000      0 OK
 G326.647+00.748    0 326.647308   0.748384   -37.36     0.70    30   2.502  11.698   0.281   0.273  -1.000  -1.000      0 hnc-fit-off
 G326.653+00.618    0 326.653412   0.618488   -39.08     0.14    30   2.596  11.605   0.276   0.268  -1.000  -1.000      0 OK
 G326.657+00.594    0 326.657593   0.594731   -39.23     0.71    30   2.604  11.598   0.278   0.271  -1.000  -1.000      0 OK
 G326.661+00.519    0 326.661682   0.519661   -39.34     0.15    30   2.610  11.592   0.275   0.268  -1.000  -1.000      0 OK
 G326.671+00.554    0 326.671417   0.554376   -40.32     0.20    30   2.663  11.541   0.274   0.267  -1.000  -1.000      0 OK
 G326.724+00.615    0 326.726776   0.615840   -41.60     0.25    30   2.733  11.480   0.272   0.265  -1.000  -1.000      0 OK
 G326.754+00.603    0 326.754700   0.603515   -41.31     0.17    30   2.717  11.500   0.272   0.265  -1.000  -1.000      0 OK
 G326.781-00.242    0 326.781647  -0.241331   -65.08     0.19    30   3.943  10.279   0.253   0.254  -1.000  -1.000      0 OK
 G326.795+00.382    0 326.795258   0.382710   -21.01     0.59    30   1.556  12.668   0.317   0.304  -1.000  -1.000      0 OK
 G326.859-00.677    0 326.859680  -0.676242   -66.17     0.38    30   3.997  10.237   0.253   0.255  -1.000  -1.000      0 OK
 G326.870+00.071    0 326.870697   0.071892   -49.50     2.78    18   3.150  11.087   0.299   0.294  -1.000  -1.000      0 OK
 G326.919-00.305    0 326.919647  -0.304416   -45.90     0.19    30   2.962  11.282   0.265   0.260  -1.000  -1.000      0 OK
 G326.975-00.033    0 326.975708  -0.031855   -59.42     0.40    30   3.656  10.598   0.254   0.253  -1.000  -1.000      0 OK
 G326.987-00.031    0 326.987488  -0.030746   -59.02     0.78    30   3.635  10.620   0.257   0.255  -1.000  -1.000      0 OK
 G326.998-00.016    0 326.998535  -0.015682   -57.83     0.63    14   3.575  10.682   0.256   0.254  -1.000  -1.000      0 OK
 G327.110+00.539    0 327.110138   0.539512   -82.40     2.00    14   4.830   9.445   0.285   0.300  -1.000  -1.000      0 poor-n2hp-fit
 G327.120+00.510    0 327.120300   0.510247   -82.63     0.70    14   4.842   9.435   0.267   0.281  -1.000  -1.000      0 hcop-fit-off
 G327.167-00.356    0 327.167572  -0.355068   -60.61     0.04    28   3.715  10.570   0.252   0.251  -1.000  -1.000      0 OK
 G327.272-00.574    0 327.272644  -0.573176   -45.57     0.63    30   2.948  11.354   0.267   0.261  -1.000  -1.000      0 OK
 G327.293-00.579    0 327.293640  -0.578021   -44.75     0.25    30   2.905  11.400   0.266   0.260  -1.000  -1.000      0 OK
 G327.294-00.195    0 327.294495  -0.194071   -62.57     0.43    30   3.812  10.493   0.251   0.251  -1.000  -1.000      0 OK
 G327.302-00.549    0 327.302673  -0.548636   -48.10     1.54    30   3.080  11.227   0.274   0.268  -1.000  -1.000      0 OK
 G327.393+00.199    0 327.393433   0.199015   -89.29     0.26    30   5.196   9.125   0.279   0.302  -1.000  -1.000      0 OK
 G327.403+00.444    0 327.403442   0.444509   -79.44     1.17    30   4.661   9.661   0.263   0.272  -1.000  -1.000      0 OK
 G327.475-00.084    0 327.475616  -0.083456   -76.47     1.52     6   4.506   9.828   0.263   0.270  -1.000  -1.000      0 ratty
 G327.567-00.852    0 327.567566  -0.851082   -36.40     0.10    30   2.460  11.888   0.279   0.270  -1.000  -1.000      0 OK
 G327.640-00.918    0 327.640320  -0.915464   -34.94     0.16    30   2.381  11.979   0.282   0.273  -1.000  -1.000      0 OK
 G327.710-00.394    0 327.710602  -0.393670   -76.14     0.59    30   4.483   9.888   0.251   0.256  -1.000  -1.000      0 OK
 G327.732-00.387    0 327.732666  -0.386416   -75.66     0.44    30   4.458   9.916   0.250   0.255  -1.000  -1.000      0 OK
 G327.766-00.347    0 327.766632  -0.346394   -77.00     0.78    30   4.525   9.855   0.253   0.258  -1.000  -1.000      0 OK
 G327.894+00.149    0 327.894714   0.149672   -91.56     0.30    30   5.290   9.110   0.277   0.301  -1.000  -1.000      0 OK
 G328.052-00.538    0 328.052643  -0.537726   -47.80     0.09    30   3.071  11.354   0.260   0.254  -1.000  -1.000      0 OK
 G328.140-00.432    0 328.140625  -0.431525   -43.97     0.16    30   2.873  11.566   0.265   0.258  -1.000  -1.000      0 OK
 G328.165+00.587    0 328.165558   0.587185   -92.50     0.88    30   5.324   9.119   0.278   0.303  -1.000  -1.000      0 OK
 G328.235-00.547    0 328.235504  -0.547036   -39.40     0.90    30   2.633  11.821   0.277   0.269  -1.000  -1.000      0 OK
 G328.255-00.532    0 328.255615  -0.531107   -44.66     2.01    30   2.911  11.546   0.285   0.277  -1.000  -1.000      0 OK
 G328.256-00.413    0 328.256683  -0.412368   -37.94     0.10    30   2.554  11.903   0.276   0.267  -1.000  -1.000      0 OK
 G328.307+00.430    0 328.307404   0.430544   -93.19     0.37    30   5.353   9.112   0.274   0.299  -1.000  -1.000      0 OK
 G328.314-00.566    0 328.314636  -0.565226   -41.56     1.00    14   2.749  11.717   0.274   0.266  -1.000  -1.000      0 OK
 G328.386-00.311    0 328.386566  -0.310376   -50.55     0.36    14   3.214  11.263   0.256   0.251  -1.000  -1.000      0 OK
 G328.420+00.584    0 328.420380   0.585038  -100.88     0.56    22   5.813   8.670   0.315   0.377  -1.000  -1.000      0 OK
 G328.567-00.535    0 328.567749  -0.534470   -47.80     0.85    30   3.077  11.429   0.262   0.256  -1.000  -1.000      0 OK
 G328.808+00.632    0 328.808441   0.632939   -42.80     0.76    30   2.822  11.721   0.269   0.261  -1.000  -1.000      0 OK
 G328.899+00.350    0 328.899567   0.350383   -81.94     1.45    30   4.739   9.817   0.252   0.259  -1.000  -1.000      0 OK
 G328.960+00.566    0 328.960541   0.566814   -93.69     0.10    30   5.337   9.229   0.262   0.282  -1.000  -1.000      0 OK
 G328.983+00.570    0 328.983612   0.570642   -90.82     0.27    30   5.183   9.386   0.255   0.269  -1.000  -1.000      0 OK
 G329.030-00.202    0 329.030426  -0.201036   -43.45     0.50    30   2.859  11.717   0.266   0.258  -1.000  -1.000      0 bad-hcop-fit;strong-abs
 G329.065-00.308    0 329.065613  -0.307328   -42.54     0.40    30   2.812  11.770   0.267   0.259  -1.000  -1.000      0 OK
 G329.184-00.315    0 329.184540  -0.314273   -50.58     1.24    30   3.225  11.375   0.261   0.255  -1.000  -1.000      0 OK
 G329.338+00.147    0 329.338562   0.147126  -107.43     0.20    22   6.146   8.477   0.338   0.450  -1.000  -1.000      0 OK
 G329.341+00.128    0 329.341522   0.128025  -107.64     0.04    30   6.161   8.462   0.341   0.457  -1.000  -1.000      0 OK
 G329.406-00.459    0 329.406555  -0.458382   -73.22     0.40    30   4.314  10.319   0.236   0.237  -1.000  -1.000      0 bad-hcop-fit
 G329.422-00.164    0 329.422394  -0.163012   -76.48     0.17    30   4.468  10.168   0.235   0.237  -1.000  -1.000      0 OK
 G329.467+00.516    0 329.467560   0.516298   -67.41     0.26    30   4.041  10.602   0.237   0.235  -1.000  -1.000      0 OK
 G329.468+00.503    0 329.468719   0.503184   -67.79     0.17    30   4.059  10.584   0.237   0.235  -1.000  -1.000      0 OK
 G329.524+00.084    0 329.524414   0.084781   -88.74     0.51    30   5.054   9.598   0.244   0.254  -1.000  -1.000      0 OK
 G329.622+00.138    0 329.622528   0.138205  -129.67    -1.00     1   7.333   7.333   0.000   0.000  -1.000  -1.000      3 very-litle-there
 G329.720+00.804    0 329.720367   0.804589   -50.00     0.30    30   3.204  11.476   0.253   0.247  -1.000  -1.000      0 OK
 G329.735+01.008    0 329.734833   1.010186   -83.95     0.14    30   4.816   9.867   0.236   0.241  -1.000  -1.000      0 OK
 G329.817+00.138    0 329.817139   0.139051   -84.97     0.26    30   4.862   9.833   0.236   0.242  -1.000  -1.000      0 OK
 G329.844+00.751    0 329.844543   0.751273   -91.02     0.21    22   5.154   9.545   0.243   0.253  -1.000  -1.000      0 OK
 G330.191+00.320    0 330.191162   0.320759   -92.96     4.37     6   5.236   9.515   0.319   0.339  -1.000  -1.000      0 several-weak-components
 G330.279+00.636    0 330.279938   0.636012   -89.59     0.28    30   5.069   9.694   0.236   0.243  -1.000  -1.000      0 OK
 G330.283+00.492    0 330.283569   0.492575   -94.15     0.15    30   5.290   9.474   0.242   0.254  -1.000  -1.000      0 OK
 G330.284+00.492    0 330.282654   0.492349   -94.28     0.30    30   5.297   9.467   0.243   0.255  -1.000  -1.000      0 OK
 G330.296+00.644    0 330.296448   0.644570   -90.83     0.29    18   5.128   9.638   0.237   0.246  -1.000  -1.000      0 OK
 G330.400+00.328    0 330.399994   0.329295   -95.46     0.31    12   5.350   9.431   0.243   0.257  -1.000  -1.000      0 OK
 G330.484+00.352    0 330.485107   0.353371   -64.32     0.25    14   3.903  10.891   0.234   0.231  -1.000  -1.000      0 OK
 G330.560-00.113    0 330.560699  -0.112616   -49.51     1.00     6   3.196  11.609   0.257   0.249  -1.000  -1.000      0 weak
 G330.583+00.007    0 330.583618   0.007998  -222.76    -1.00     1   7.404   7.404   0.000   0.000  -1.000  -1.000      3 nothing-there
 G330.646-00.176    0 330.647064  -0.175225   -16.13     1.00     1   1.303  13.515   0.349   0.329  -1.000  -1.000      0 very-weak
 G330.781+00.246    0 330.782013   0.246612   -43.78     0.56    14   2.911  11.926   0.264   0.254  -1.000  -1.000      0 OK
 G330.876-00.384    0 330.875610  -0.384495   -63.76     0.64    30   3.881  10.969   0.235   0.231  -1.000  -1.000      0 OK
 G330.879-00.368    0 330.877411  -0.368171   -62.87     0.58    30   3.840  11.011   0.235   0.231  -1.000  -1.000      0 OK
 G330.889-00.460    0 330.889404  -0.458933   -66.94     1.11     6   4.027  10.825   0.236   0.232  -1.000  -1.000      0 OK
 G330.927-00.407    0 330.927582  -0.406550   -41.19     0.25    30   2.780  12.078   0.268   0.258  -1.000  -1.000      0 OK
 G330.928-00.407    0 330.928528  -0.406735   -41.12     0.29    30   2.777  12.082   0.268   0.258  -1.000  -1.000      0 OK
 G330.943-00.259    0 330.943146  -0.258257   -89.13     1.65    30   5.030   9.830   0.240   0.246  -1.000  -1.000      0 OK
 G330.954-00.183    0 330.954529  -0.182377   -90.80     0.36    30   5.107   9.755   0.230   0.236  -1.000  -1.000      0 OK
 G330.955-00.183    0 330.954773  -0.182297   -91.20     1.22    30   5.126   9.736   0.236   0.243  -1.000  -1.000      0 OK
 G330.958-00.273    0 330.958313  -0.272814   -87.96     0.42    30   4.976   9.886   0.228   0.232  -1.000  -1.000      0 OK
 G331.025-00.103    0 331.025757  -0.102460   -94.18     0.20    18   5.263   9.609   0.232   0.241  -1.000  -1.000      0 hcop+hcn-only
 G331.064+00.376    0 331.064423   0.376683   -96.26     1.00     2   5.361   9.517   0.239   0.251  -1.000  -1.000      0 weak
 G331.087+00.311    0 331.087555   0.311282   -46.25     0.50    12   3.044  11.837   0.258   0.249  -1.000  -1.000      0 hnc+n2hp
 G331.126+00.368    0 331.126465   0.368682   -99.14     0.30    12   5.497   9.389   0.240   0.254  -1.000  -1.000      0 2nd-pk--55ish
 G331.132-00.245    0 331.132477  -0.244124   -86.85     1.04    30   4.923   9.965   0.229   0.233  -1.000  -1.000      0 OK
 G331.148+00.136    0 331.148529   0.136840   -76.13     0.10    30   4.443  10.447   0.224   0.223  -1.000  -1.000      0 OK
 G331.342-00.346    0 331.342468  -0.345755   -66.07     0.11    30   3.993  10.924   0.229   0.225  -1.000  -1.000      0 OK
 G331.367+00.577    0 331.367432   0.577145   -43.96     1.03     6   2.935  11.986   0.267   0.257  -1.000  -1.000      0 OK
 G331.434-00.284    0 331.434906  -0.283328   -88.20     0.82    22   4.979   9.952   0.225   0.229  -1.000  -1.000      0 OK
 G331.441-00.187    0 331.441986  -0.186499   -88.13     2.59    14   4.976   9.956   0.250   0.255  -1.000  -1.000      0 OK
 G331.493-00.084    0 331.493805  -0.082948   -88.55     0.35    30   4.994   9.945   0.223   0.226  -1.000  -1.000      0 OK
 G331.553-00.123    0 331.553528  -0.121880  -101.03     1.18    30   5.569   9.378   0.243   0.259  -1.000  -1.000      0 OK
 G331.561+00.286    0 331.561951   0.286425   -56.59     0.20    22   3.559  11.389   0.239   0.233  -1.000  -1.000      0 OK
 G331.570-00.229    0 331.570007  -0.228760   -50.14     0.17    30   3.250  11.700   0.249   0.241  -1.000  -1.000      0 OK
 G332.250+00.184    0 332.250641   0.184662   -49.80     0.79    30   3.251  11.794   0.252   0.243  -1.000  -1.000      0 OK
 G332.413-00.154    0 332.413452  -0.153607   -50.02     0.41    30   3.267  11.801   0.249   0.240  -1.000  -1.000      0 OK
 G332.454-00.388    0 332.454987  -0.387194   -41.72     0.04     6   2.850  12.223   0.266   0.255  -1.000  -1.000      0 OK
 G332.543-00.124    0 332.543640  -0.123226   -47.30     0.25    30   3.137  11.949   0.254   0.244  -1.000  -1.000      0 OK
 G332.583+00.145    0 332.583618   0.145899   -45.02     0.25    30   3.023  12.067   0.258   0.248  -1.000  -1.000      0 bad-n2hp-fit
 G332.755-00.466    0 332.756073  -0.465416   -52.84     0.12    30   3.412  11.702   0.243   0.235  -1.000  -1.000      0 OK
 G332.769-00.008    0 332.769562  -0.007528   -96.06     0.48    22   5.303   9.813   0.216   0.221  -1.000  -1.000      0 OK
 G333.016+00.765    0 333.016754   0.766176   -48.47     0.64    30   3.209  11.940   0.253   0.243  -1.000  -1.000      0 OK
 G333.016+00.766    0 333.016327   0.766165   -48.95     0.48    30   3.233  11.917   0.251   0.241  -1.000  -1.000      0 OK
 G333.029-00.062    0 333.029602  -0.060765   -41.76     0.01    28   2.871  12.280   0.266   0.254  -1.000  -1.000      0 OK
 G333.067-00.446    0 333.067780  -0.445703   -53.66     0.42    30   3.461  11.695   0.242   0.233  -1.000  -1.000      0 OK
 G333.221-00.402    0 333.221527  -0.401164   -52.35     0.22    30   3.403  11.773   0.243   0.234  -1.000  -1.000      0 OK
 G333.282-00.488    0 333.283020  -0.487285   -54.70     0.46    30   3.516  11.669   0.240   0.231  -1.000  -1.000      0 OK
 G333.558-00.305    0 333.558685  -0.304576   -48.88     2.93    30   3.247  11.974   0.290   0.277  -1.000  -1.000      0 OK
 G333.721+00.364    0 333.721863   0.364156   -33.31     0.23    30   2.438  12.805   0.290   0.275  -1.000  -1.000      0 OK
 G333.774-00.258    0 333.774292  -0.257148   -49.49     0.41    30   3.285  11.966   0.249   0.239  -1.000  -1.000      0 OK
 G334.138-00.023    0 334.138733  -0.022247   -34.40     2.00     4   2.515  12.783   0.310   0.292  -1.000  -1.000      0 ratty-n2hp;weak-hcop
 G334.184+00.045    0 334.184479   0.045143   -65.52     0.20    22   4.032  11.272   0.220   0.214  -1.000  -1.000      0 poor-hcop-fit
 G334.344+00.049    0 334.344757   0.049159   -68.63     0.24    30   4.170  11.154   0.216   0.210  -1.000  -1.000      0 OK
 G334.647+00.453    0 334.647888   0.453384   -65.71     0.44    30   4.055  11.308   0.219   0.213  -1.000  -1.000      0 OK
 G334.727-00.146    0 334.727875  -0.145075   -31.27     0.33    22   2.359  13.014   0.299   0.282  -1.000  -1.000      0 OK
 G334.746+00.505    0 334.746460   0.506049   -63.41     0.40    12   3.958  11.417   0.222   0.215  -1.000  -1.000      0 OK
 G335.005-00.029    0 335.005219  -0.028323   -92.53     0.32    30   5.149  10.259   0.196   0.196  -1.000  -1.000      0 OK
